RANK,Name,POS,ADP,BYE,NOTES,gFAN PTS,gYDS Passing,gTDS Pass,gREC Receiving,gYDS  Recieiving,gTDS Reciieving,gATT rushing,gDS rushing,gTDS rushing,yFAN PTS,yYDS Passing,yTDS Pass,yREC Receiving,yYDS  Recieiving,yTDS Reciieving,yATT rushing,yYDS rushing,yTDS rushing
232,Will Dissly SEA ,TE28,233.3,6,"Injuries have sadly derailed the production for Dissly, but when on the field, he‘s been ridiculously good. He‘s only played 10 games, but in those games, he‘s posted TE1-type numbers in 60 percent of them. That‘s the same percentage as George Kittle in his career. Again, it‘s a small sample size, but as the 31st tight end off the board? He‘s well worth the risk. And no, don‘t worry about Greg Olsen.",8.5,0,0,3.8,43.7,0.7,0.2,1.2,0,50.9,0,0,23,262,4,1,7,0
233,Dan Bailey MIN ,K11,239.5,7,"After two years in which he struggled with his accuracy, Bailey bounced back last season by hitting 93.1% of his field-goal attempts, including hitting all three from 50-plus yards. Unfortunately, he saw just 29 attempts, the third straight year in which he saw fewer than 30. Bailey is a decent option in 15-team leagues, but not worth drafting in smaller ones.",8.3,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0
234,Mason Crosby GB ,K12,240.5,5,"Crosby is coming off the most accurate year of his career (91.7% on field goals, 40-of-41 extra-point attempts converted). But he saw just 24 field goal attempts after seeing 37 the previous year. The Packers offense isn‘t what it once was, and Crosby spends the majority of his games kicking outside in cold weather. He‘s a borderline draftable kicker but there‘s little to get excited about in 2020.",7.2,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0
235,Rashaad Penny SEA ,RB67,216.5,6,"It seems that Penny will start the year on the PUP list after tearing his ACL towards the end of last year. That would knock him out for at least the first six weeks, which is not something fantasy owners should be looking to draft. Even when he returns, we don‘t know where he stands on the depth chart, as they still have Chris Carson, then drafted DeeJay Dallas in the fourth round, and also signed Carlos Hyde in free agency. Unless you have an IR spot, Penny should be on waivers to start the season.",6.7,0,0,0.8,8.3,0.1,6.5,37,0.3,130,0,0,17,142,0,211,898,5
236,Adrian Peterson FA ,RB68,216.8,,"Peterson was released on September 4th, and so if he plays in 2020, it won‘t be for Washington. He showed he still had some gas left in the tank last year, but it‘s unlikely he‘d land in a spot where he would get the workload he was expected to see in Washington even if he does sign elsewhere. Ignore him on draft day.",8.1,0,0,1.1,8.9,0,13.2,56.1,0.3,67.3,0,0,8,83,1,65,370,3
237,Jace Sternberger GB ,TE29,232.5,5,"He was a popular late-round pick earlier this offseason, but after he was placed on the COVID list and forced to miss out on training camp, he‘s falling further down draft boards, and most of the time not being drafted at all. Packers tight ends have failed to eclipse 103 targets combined in six of the last seven years. It typically takes 80-plus targets for a tight end to finish in TE1 territory without tons of touchdowns, and though Rodgers has thrown plenty of those, his tight ends haven‘t combined for more than nine touchdowns in each of those seven seasons. This would be Sternberger‘s first trip into the starting lineup, so it‘s tough to expect much from a young tight end, even though I did like him as a prospect last year. He‘s someone that you‘ll be able to use as a streamer from time-to-time, but he won‘t be your every-week solution at tight end.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,Younghoe Koo ATL ,K13,237.1,10,"Although Koo‘s 2019 season will be remembered primarily for his three successful onside kicks in Week 14 against the Saints, he actually had a pretty dominant year for the Falcons. Despite playing just eight games, he had 26 field-goal attempts, converting 23 of them. Back with the Falcons and kicking indoors, Koo should easily finish as a top-12 kicker this season if he can again hit 88.5% of his field-goal attempts. Draft him as a starter in all leagues.",11.6,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0
239,Darrel Williams KC ,RB69,229.7,10,,5.9,0,0,1.7,18.6,0.1,4.6,15.7,0.3,52.8,0,0,15,167,1,41,141,3
240,Gerald Everett LAR ,TE30,240.6,9,"Everett wasn‘t a startable tight end for most of the season anyway, but he dealt with injuries over the last several weeks of the year and was completely irrelevant. Unfortunately for Everett, Tyler Higbee emerged as a force down the stretch, furthering deepening the divide between Everett and fantasy-relevancy. He‘s beyond even TE2 consideration at this point.",4.1,0,0,2.8,31.4,0.2,0.1,0,0,52.8,0,0,37,408,2,1,0,0
241,Matt Gay FA ,K14,216.3,,,9.1,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0
242,Miles Boykin BAL ,WR80,233.1,8,"Have the Ravens written him off as a bust? After drafting him in the third round last year, they had him playing behind guys like Seth Roberts and Willie Snead. He played just 27.2 snaps per game and saw just 22 targets his rookie year despite being healthy for all 16 games. He did score three touchdowns on those targets, and outside of Mark Andrews, he‘s probably the dark horse to lead the team in receiving touchdowns at 6-foot-4 and 220 pounds. Still, he needs to be on the field for that to happen. My guess would be that he starts on the perimeter opposite Marquise Brown with Roberts gone, so there‘s some sort of opportunity here. The issue is that they targeted wide receivers just 172 times last year. Even a 15 percent increase (which is a lot) would bring them up to 200 targets. Without an injury, it‘s going to be difficult for Boykin to see more than 50-60 targets, even as a starter.",2.4,0,0,0.8,12.4,0.2,0,0,0,37.8,0,0,13,198,3,0,0,0
243,Russell Gage ATL ,WR81,242.8,10,"Once Mohamed Sanu was traded, Gage saw a ridiculous 66 targets in nine games, though it did help that both Calvin Ridley and Austin Hooper both missed time during that stretch. I expected the Falcons to fill that role with someone in the draft or free agency, but it never happened, so it‘s possible we see Gage as a bye-week filler on fantasy rosters, especially if any of the other pass-catchers were to miss time. There isn‘t much upside here, though. Best case scenario is that we‘re looking at someone like Cole Beasley from 2019. Again, could play a role in fantasy, but don‘t see a consistent fantasy producer.",3.1,0,0,3.1,27.9,0.1,0.3,0.8,0,49.8,0,0,49,446,1,4,12,0
244,Cleveland (CLE) ,DST20,247.2,9,,5.4,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0
245,Tyler Eifert JAC ,TE31,240.8,7,"We‘ve seen tight ends have success in Jay Gruden‘s offense and Eifert does have one year of experience in his offense, dating all the way back to 2013. He‘s on his third straight one-year deal, as no team wants to commit to him. The Jaguars will be racking up the pass attempts, and they did just lose Josh Oliver for the season. It‘s possible Eifert has streamable weeks, but he‘s not in the every-week consideration.",4,0,0,2.7,27.3,0.2,0,0,0,63.6,0,0,43,436,3,0,0,0
246,Danny Amendola DET ,WR82,241.5,5,"Raise your hand if you knew Amendola had 96 targets last year. Now put your hand down, liar. It was his first year with the team and he clearly had a big role, though he turned those 96 targets into just 678 yards and a touchdown. It does help his projection to know that Geronimo Allison opted out, as he‘s someone who could‘ve stole slot snaps. Despite being targeted five-plus times in 10-of-15 games last year, Amendola topped 47 yards just four times, and it‘s not as if touchdowns will help make up for that, as he‘s scored once every 37.9 targets over the course of his 11-year career. He‘s a last-ditch bye-week option who‘ll likely have somewhat of a stable floor in PPR formats, but that‘s about it.",5.2,0,0,4.1,45.2,0.1,0,0,0,78.56,0,0,62,678,1,0,0,0
247,Jalen Richard LV ,RB70,237.1,6,"It‘s odd that Richard was re-signed to the Raiders roster when they said they wanted to get Josh Jacobs more involved in the passing game, as Richard is the primary competition. Not just that, but they then drafted running back/wide receiver Lynn Bowden in the second round. However we slice it, Richard isn‘t likely to top the 43 targets he got in 2019, which makes him a non-factor in fantasy leagues.",2.9,0,0,2.3,20.2,0,2.4,9.1,0,46.8,0,0,36,323,0,39,145,0
248,Gus Edwards BAL ,RB71,229.1,8,"Edwards could probably be a star if he got a full workload in Baltimore. He‘s averaged 5.3 yards per carry in his career and has lost just one fumble in two seasons. He would have been a high-end handcuff for Mark Ingram this year, but the addition of J.K. Dobbins essentially relegates Edwards to irrelevancy. He‘d almost certainly need multiple injuries to have much fantasy value, and despite the high upside in that unlikely scenario, he‘s not worth wasting a roster spot on.",5.3,0,0,0.4,2.8,0,8.3,44.4,0.1,85.6,0,0,7,45,0,133,711,2
249,New York (NYJ) ,DST21,248.3,11,,8.6,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0
250,Jason Myers SEA ,K15,249.9,6,"Myers’ first year in Seattle was a disappointment coming off his stellar 2018 with the Jets. He missed four extra points, and was only 6-of-11 from 40-plus yards. Kicking for Seattle‘s offense should be a good thing, however, as the Seahawks have a solid offense but often like to play conservatively. But, at this point, Myers is just one of a handful of low-end kickers you can consider drafting in a 12-team league.",7.3,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0
251,Ito Smith ATL ,RB72,235.3,10,"Some are automatically assuming that Smith is the handcuff to Todd Gurley, but I wouldn‘t be so sure. The Falcons were talking about benching Smith prior to him getting injured last year. It‘s not like Brian Hill did a lot to change their mind, but it‘s likely they‘d split the carries among them.",3.6,0,0,1.6,12.4,0,3.1,15.1,0.1,25.3,0,0,11,87,0,22,106,1
252,DeAndre Washington KC ,RB73,223,10,,5.4,0,0,2.3,18.3,0,6.8,24.2,0.2,85.9,0,0,36,292,0,108,387,3
253,Brandon McManus DEN ,K16,250.4,8,"McManus bounced back from a few sub-par years, hitting 85.3% of his field-goal attempts and all but one of his extra-point attempts. The biggest difference for McManus was that he saw 34 field-goal tries, second-most of his career. With more offensive weapons for Drew Lock and a sturdy defense, McManus should again see plenty of chances. In the thin air in Denver, he‘s a decent bet to finish as a top-12 kicker, though should probably be drafted only in 15-team leagues.",8.2,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0
254,Tre'Quan Smith NO ,WR83,241,6,"It seems many have simply forgotten that Smith is still on the roster despite being a third-round pick by the Saints just two years ago. It‘s fair considering he‘s seen just 69 targets in that span, but what if Michael Thomas had to miss some time? Smith has averaged a ridiculously high 9.6 yards per target in his first two seasons and can be lined up all over the field. He‘s also scored a touchdown every 6.9 targets (10 of them on 69 career targets). If you play in a dynasty league and Smith can be had on the cheap, make that move. It‘s very possible he‘d be the top receiver on the team if Thomas were held out, as he has experience in the offense and the Saints have every reason to want him to succeed. Keep him on waiver wire speed dial in redraft leagues.",4.9,0,0,1.6,21.3,0.5,0,0,0,53.4,0,0,18,234,5,0,0,0
255,Jimmy Graham CHI ,TE32,250.5,11,"There wasn‘t a single Bears tight end who recorded 100 yards last year. No, I‘m not talking about a game. I‘m talking about the entire season. Signing Graham isn‘t something they should‘ve done to solve that issue. He‘ll be 34 years old in November and has averaged just 6.5 yards per target the last three years, and that‘s despite playing with Russell Wilson and Aaron Rodgers. At 6-foot-6 and 260 pounds, he can still come down with a jump ball from time-to-time, but he‘s not someone you should hinge your fantasy season on. He‘s a streamer, at best.",3.9,0,0,2.4,27.9,0.2,0,0,0,62.7,0,0,38,447,3,0,0,0
256,Chris Conley JAC ,WR84,239.8,7,"Not many realize just how good of a year Conley had in 2019, racking up 90 targets, 47 receptions, 775 yards, and five touchdowns. It may not matter, though. The Jaguars drafted his eventual replacement in Laviska Shenault in the second round of the NFL Draft, so it‘s only a matter of time before Conley is booted from the starting lineup. Shenault did have offseason core muscle surgery, so it‘s possible Conley can hold him to start the year, but that‘s far from a guarantee.",6.8,0,0,2.9,48.4,0.3,0,0,0,109.5,0,0,47,775,5,0,0,0
257,Josh Reynolds LAR ,WR85,238.7,9,"Did the draft pick of Van Jefferson affect Josh Reynolds’ role as the No. 3 receiver in the offense? Jefferson fits more of the Brandin Cooks mold than Reynolds, which is where there‘s some hesitance to draft Reynolds in 2020. However, we do have a history that shows when he is in the starting lineup, he produces. In the 14 games he‘s seen four-plus targets, he‘s totaled 46 receptions for 613 yards and seven touchdowns. There‘s a chance he‘s being underdrafted, but there‘s also a chance that he remains the No. 4 receiver on the team.",2.6,0,0,1.3,20.4,0.1,0.3,1.4,0,40.9,0,0,21,326,1,5,23,0
258,Ryan Fitzpatrick MIA ,QB31,262.6,11,"Fitzpatrick is going to start the season at quarterback for the Dolphins, but with Tua Tagovailoa waiting in the wings, it‘s unclear how long he‘ll last. Fitzpatrick closed 2019 strong with the Dolphins, and was a top-five fantasy quarterback over the final five weeks. But the Dolphins have perhaps the worst offensive line in football and are unlikely to compete for a playoff spot. He‘s only worth drafting as a backup in superflex or two-quarterback leagues and, even then, don‘t expect to be able to roster him past the midpoint of the season.",17,235.3,1.3,0,0,0,3.6,16.2,0.3,254.46,3529,20,0,0,0,54,243,4
259,Chris Boswell PIT ,K17,255.9,8,"After a disastrous 2018 season, Boswell bounced back in a big way last year, hitting 93.5% of his field-goal attempts and all 28 of his extra-point attempts. Boswell‘s upside is limited somewhat by Heinz Field, a notoriously difficult place to kick because of its turf. Indeed, Boswell has attempted just 11 field goals of 50-plus yards in his five seasons. Nevertheless, with Ben Roethlisberger returning, the Steelers offense should move the ball with ease, providing Boswell with plenty of opportunities, which should make up for the lack of long attempts.",7.9,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0
260,Frank Gore NYJ ,RB74,240.1,11,"Leave it to Adam Gase to bring back Frank Gore for one more season. The last time Gore played for Gase (in 2018), he tallied 722 yards on the ground but failed to score a single touchdown. Now playing behind Le‘Veon Bell, Gore is going to be relied upon for 5-8 carries per game, which means very little in the Jets low-scoring offense.",5.1,0,0,0.8,6.3,0,10.4,37.4,0.1,81.9,0,0,13,100,0,166,599,2
261,Andy Isabella ARI ,WR86,249.8,8,"Isabella saw just 13 targets last season after being selected in the second round of the draft, and would have potentially been considered a breakout candidate in deeper leagues heading into the year. Unfortunately, with the addition of DeAndre Hopkins and the return of Larry Fitzgerald, it will be nearly impossible for Isabella to return any value this season. In dynasty leagues, he‘s worth holding onto, but ignore him for redraft purposes.",1.8,0,0,0.6,12.6,0.1,0.3,1,0,26.4,0,0,9,189,1,4,15,0
262,Chase Claypool PIT ,WR87,253.7,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,David Njoku CLE ,TE33,260.4,9,"Not only did the Browns add Austin Hooper in free agency, but they decided to throw down a fourth-round pick on Harrison Bryant, another tight end to add to the mix. The Browns further hurt Njoku‘s value when they picked up the fifth-year option on his contract. He‘s in a bad place right now. All dynasty owners can hope is that he‘s traded.",2.5,0,0,1.3,10.3,0.3,0,0,0,10.1,0,0,5,41,1,0,0,0
264,Rex Burkhead NE ,RB75,245,6,"With Tom Brady out of town, we know the Patriots are going to be running the ball much more. The issue is that they‘ve shown a significant amount of trust in Sony Michel, invested a third-round pick on Damien Harris, and James White isn‘t going anywhere. That‘s a lot of mouths to feed. Burkhead is someone you look to if there‘s injuries to others, but it‘s unlikely he‘s an asset with everyone healthy.",5.7,0,0,2.1,21.5,0,5,23.2,0.2,74.1,0,0,27,279,0,65,302,3
265,Mohamed Sanu FA ,WR88,231.9,,"The Patriots cut Sanu despite giving up a second-round pick for him in the middle of the 2019 season. He‘ll surely latch on somewhere else, but considering he‘s rarely had fantasy value in his career in a good offense with Atlanta, it‘s unlikely he‘ll be able to join a new team and suddenly find value there. Ignore him on draft day even in the deepest of leagues.",4.3,0,0,3.9,34.7,0.1,0.2,0.7,0,65.1,0,0,59,520,2,3,11,0
266,Marquez Valdes-Scantling GB ,WR89,252.6,5,"It seems that Valdes-Scantling got on the bad side of Aaron Rodgers early in his career, and then a move from the slot to the perimeter essentially decimated his fantasy potential. But did something happen this offseason that could get him back on track to the top-40 receiver he was being drafted as in 2019 fantasy drafts? Geronimo Allison was allowed to let walk in free agency, vacating the slot role once again. Valdes-Scantling seems like the natural replacement, as Davante Adams and Allen Lazard aren‘t primary slot receivers. That‘s great news considering Valdes-Scantling has averaged 1.02 more fantasy points per target in the slot than he has on the perimeter. That‘s the second-highest gap in football over the last two years, so you can say he‘s slot-dependent. If he can get back on Aaron Rodgers’ good side, he‘ll have some streamer-worthy weeks.",3.6,0,0,1.6,28.3,0.1,0.1,0.6,0,58.1,0,0,26,452,2,2,9,0
267,Joey Slye CAR ,K18,265.2,13,"Slye struggled a bit with his accuracy in his rookie year, missing four extra-point attempts and hitting just 78.1% of his field-goal tries. He‘ll likely see a fair amount of attempts this year with Teddy Bridgewater guiding a decent but less than explosive offense, but he‘ll need to start converting more of his chances to make him worth drafting in standard-sized leagues.",8.1,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0
268,Justice Hill BAL ,RB76,244.9,8,"It was a shame we didn‘t get to see Hill in a bigger role last year, but we all felt that Mark Ingram was a year closer to the end, and Gus Edwards was going to be a free agent. Well... Ingram is still closer to retirement, but Edwards was retained by the team, and then they went and drafted JK Dobbins in the second round, eliminating the shot of Hill getting a bigger role. He‘s going to be stuck in the 4-6 touches per game role unless there are multiple injuries.",2.6,0,0,0.5,4.4,0,3.6,14.1,0.1,41.5,0,0,8,70,0,58,225,2
269,Houston (HOU) ,DST22,270.3,8,,5.6,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0
270,KJ Hamler DEN ,WR90,259.2,8,"It‘s tough to like a rookie who‘s likely the fifth option in the passing game, right? I‘ll tell you that Hamler is a baller and can play both in the slot and on the perimeter. He‘s likely going to break a few plays this year that have you wondering if he‘s worth a pickup, but we must always go back to the fact that he‘s the fifth option (Sutton, Jeudy, Fant, Gordon all ahead) on a run-heavy team that will only come on the field in 3WR sets. If there‘s an injury to one of Jeudy or Sutton, he‘s someone I‘d snag off waivers, but you don‘t need to draft him.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,Nick Foles CHI ,QB32,278.8,11,"Foles will begin the year backing up Mitch Trubisky. Although he had an incredible 2013 season and a magical playoff run culminating in an Eagles Super Bowl, he hasn‘t been fantasy-relevant at many points in his career. Foles has experience with Bill Lazor, John DeFilippo, and Juan Castillo, and could fit in in nicely with the Bears if given a shot. But for now, as a backup, he should be off the fantasy radar.",9.9,184,0.8,0,0,0,1,5.8,0,39.74,736,3,0,0,0,4,23,0
272,Royce Freeman DEN ,RB77,257.8,8,"Freeman carved out a role on the short side of a platoon with Phillip Lindsay in the first half of the season, particularly with his involvement as a receiver. But the Broncos turned over nearly full control of the backfield to Lindsay toward the latter half of the season, and Freeman lost nearly all value. Now, with Melvin Gordon in the fold, it‘s nearly impossible to see Freeman adding any fantasy value absent multiple injuries. There‘s no reason to be concerned about him other than in extremely deep leagues.",6.2,0,0,2.7,16,0.1,8.3,31,0.2,99.2,0,0,43,256,1,132,496,3
273,Peyton Barber WAS ,RB78,255.6,8,"Barber never found sustained success with the Bucs, and will now try his hand with the Washington. Washington has a below-average offense with a sub-par offensive line, but his competition for touches has decreased significantly without Adrian Peterson and Derrius Guice. He‘ll still be competing for touches with J.D. McKissic, Antonio Gibson, and Bryce Love, but there;s a decent chance he seems some early down work. Still, he‘s only worth drafting as a bench option.",6.3,0,0,1,7.2,0.1,9.6,29.4,0.4,100.5,0,0,16,115,1,154,470,6
274,J.J. Arcega-Whiteside PHI ,WR91,268,9,,1.4,0,0,0.6,10.6,0.1,0,0,0,22.9,0,0,10,169,1,0,0,0
275,Austin Seibert CLE ,K19,279.7,9,"Seibert was adequate last year hitting 86.2% of his field-goal attempts, though he was just 30-of-35 on extra points. The Cleveland offense should be improved this year, so there‘s a good chance that Seibert will see more than the 29 field-goal chances he saw last year. Still, he‘s not worth drafting in standard-sized leagues, given his middling accuracy.",7.3,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0
276,Washington (WAS) ,DST23,280.3,8,,5.4,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0
277,Kendrick Bourne SF ,WR92,258,11,,4.2,0,0,1.9,22.4,0.3,0,0,0,67.8,0,0,30,358,5,0,0,0
278,Van Jefferson LAR ,WR93,264.1,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,Brian Hill ATL ,RB79,266.1,10,,4.8,0,0,0.8,5.8,0.1,6.5,26.9,0.2,57.2,0,0,10,69,1,78,323,2
280,Josh Lambo JAC ,K20,279.2,7,"Lambo had an outstanding 2019 season, hitting all but one of 34 field-goal attempts, including all four of his attempts from at least 50 yards. The Jaguars are likely to be playing from behind often this year, which could limit his chances. But given that he‘s hit at least 90.5% of his field-goal attempts in each of the last three seasons, he‘s worth considering as one of the last kickers off the board in deeper leagues.",8.4,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0
281,Adam Humphries TEN ,WR94,268.4,7,"Remember when he was a target monster in Tampa Bay just two years ago and finished as a top-30 wide receiver? He dealt with injuries throughout the year, resulting in limited playing time and just 47 targets on the season. Even worse is that once A.J. Brown entered the lineup on a full-time basis, Humphries didn‘t see more than four targets in a game. Even if Humphries were to do something, it‘s not going to make you wonder how you missed it, because his ceiling is a fringe WR3. Shoot for upside in the later rounds. He doesn‘t have it.",4.1,0,0,3.1,31.2,0.2,0.1,0.1,0,49.5,0,0,37,374,2,1,1,0
282,Phillip Dorsett SEA ,WR95,268.1,6,"It‘s kind of crazy how some wide receivers are just glued to elite quarterbacks no matter where they go. Dorsett fits that bill after playing with Andrew Luck, Tom Brady, and now Russell Wilson. With no offseason, it may be difficult for him to get the nod over Moore, but if he did, his skill set would probably fit very well with Wilson. I say that because Wilson completed 48.2 percent of his passes over 20 yards and had a QB Rating of 119.2 on them. While in New England last year, he saw 17 deep balls, though only five were catchable. He caught all of them for 192 yards and three touchdowns. Both are battling for the No. 3 in targets, so it‘s not like either will be a weekly producer, but Dorsett is the one with the better pedigree, and his skill set aligns with Wilson‘s strength. If Lockett were to miss time, Dorsett actually played very well in the slot for the Patriots, catching 13-of-14 targets for 218 yards and three touchdowns. He‘s someone I‘ve snagged quite a few times at the end of best ball drafts.",5.1,0,0,2.1,28.4,0.4,0.2,1.5,0,71.8,0,0,29,397,5,3,21,0
283,Jacksonville (JAC) ,DST24,283.5,7,,6.2,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
284,Darwin Thompson KC ,RB80,267.4,10,"Remember when Thompson had an incredible preseason and everyone wanted to draft him as the potential starter in this backfield? One year and 46 touches later, no one is drafting the second-year running back. He‘d need multiple injuries to find his way into fantasy relevance, as both Clyde Edwards-Helaire and Damien Williams are well ahead of him on the depth chart.",1.9,0,0,0.8,3.6,0,3.1,10.7,0.1,23.1,0,0,9,43,0,37,128,1
285,Tua Tagovailoa MIA ,QB33,291.8,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Auden Tate CIN ,WR96,271.8,9,"The return of A.J. Green pushed Tate down the depth chart. The second-round draft pick of Tee Higgins buried him. Despite playing just 12 games, Tate ranked 51st in targets among wide receivers last year with 80 of them. Despite being 6-foot-5 and 228 pounds, he scored on just one of them. Clearly, the Bengals did not think of him as Green‘s successor. It‘s possible that he‘s the handcuff to Green because he knows the offense and played that role last year, but it‘d only be a matter of time before the rookie Higgins took over.",4.7,0,0,3.1,44.2,0.1,0,0,0,61.5,0,0,40,575,1,0,0,0
287,Demarcus Robinson KC ,WR97,276.1,10,"Despite playing in one of the best offenses in football, Robinson has one little from a fantasy perspective. He set or tied career-highs last year with 55 targets, 32 receptions, 449 receiving yards, and four touchdowns, but it will take far more than that for him to get on the fantasy radar. Behind Tyreek Hill, Sammy Watkins, and Mecole Hardman, Robinson needs injuries to one or more of the other receivers to have any relevancy.",4.3,0,0,2,28.1,0.3,0,0,0,68.9,0,0,32,449,4,0,0,0
288,LeSean McCoy TB ,RB81,249.7,13,,7,0,0,2.2,13.9,0.1,7.8,35.8,0.3,90.6,0,0,28,181,1,101,465,4
289,Zach Pascal IND ,WR98,273.7,7,"The only two wide receivers who know the offense and have been able to put in time with their new quarterback are Pascal and Parris Campbell. Is it possible that Pascal is better than everyone thinks? Pascal averaged 8.4 yards per target last year while playing with Jacoby Brissett and Brian Hoyer, which included five games of 72 yards or more. Knowing that T.Y. Hilton is dealing with a hamstring injury and that Michael Pittman is a rookie, it‘s possible that Pascal is in the starting lineup. With so much uncertainty around the 2020 NFL season, Pascal could be an early-season waiver wire pickup if he plays 50-plus snaps in Week 1.",5.9,0,0,2.6,37.9,0.3,0.1,1,0,94.3,0,0,41,607,5,2,16,0
290,Jaylen Samuels PIT ,RB82,272.3,8,"Samuels has received just 122 carries in his first two seasons, and although he can factor in as a receiver at times, he doesn‘t have a path to regular playing time. Even if James Conner deals with injuries again, Benny Snell Jr. and Anthony McFarland Jr. stand in Samuels’ way. He‘s relevant only in extremely deep PPR leagues and barely so even there.",4.2,0,0,3.4,21.8,0.1,4.7,12.5,0.1,58.4,0,0,47,305,1,66,175,1
291,Vance McDonald PIT ,TE34,288,8,"McDonald has always felt like he could be a breakout candidate one year, but those feelings are gone by this point. Although he‘ll return with the Steelers, Eric Ebron should see the primary snaps from the tight end position, making McDonald an afterthought in fantasy. Either way, the oft-injured McDonald has cleared 391 receiving yards and 38 catches just once in his career, and is no longer a fantasy option, even in deeper leagues.",3.3,0,0,2.7,19.5,0.2,0.1,0.1,0,45.5,0,0,38,273,3,1,2,0
292,Dion Lewis NYG ,RB83,276.3,11,"Lewis is highly unlikely to see significant touches so long as Saquon Barkley is healthy. Even if Barkley were to get injured, Lewis is now 29 years old and does not have the frame to take over every-down work. In other words, his best-case scenario is 10-12 touches with work in the passing game, and there are obstacles to reach that point. There‘s little reason to consider Lewis in your fantasy draft.",2.6,0,0,1.6,10.3,0.1,3.4,13.1,0,41.3,0,0,25,164,1,54,209,0
293,Mitch Trubisky CHI ,QB34,296.5,11,"Trubisky will start the season at quarterback for the Bears, but he‘s one of the last quarterbacks you‘d draft in your fantasy league. He regressed significantly last year, rarely pushing the ball down the field and looking tentative all season long. He threw just 17 touchdown passes, had just a 6.1 YPA average, and ran for only 193 yards. Even with Trubisky beginning the year as the starter, he almost certainly won‘t have much fantasy value, and should be an afterthought on draft day.",14.2,209.2,1.1,0,0,0,3.2,12.9,0.1,212.82,3138,17,0,0,0,48,193,2
294,Atlanta (ATL) ,DST25,292.7,10,,5.6,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0
295,Devine Ozigbo JAC ,RB84,200.8,7,,0.5,0,0,0.3,2.3,0,0.9,2.7,0,5,0,0,3,23,0,9,27,0
296,Lamar Miller NE ,RB85,256.5,6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,Antonio Gandy-Golden WAS ,WR99,277.7,8,"Everyone is talking about Antonio Gibson as the physical specimen on the team, but Gandy-Golden is remarkable in his own right. He doesn‘t run a 4.39-second 40-yard dash, but he is very agile for a player who‘s 6-foot-4 and 223 pounds. The biggest question mark with him is his adjustment to the stiffer competition, as he dominated at Liberty, racking up 2,433 yards and 20 touchdowns over his two years there. Once Kelvin Harmon went down with a torn ACL, it opened a door for Gandy-Golden to play opposite Terry McLaurin and make his mark. With no legitimate tight end on the roster, we could see Gandy-Golden become a favorite inside the red zone. Not that we‘re expecting Dwayne Haskins to throw 25-plus touchdowns, but we didn‘t expect anything from McLaurin last year, right? I‘ll be reporting on his snaps in The Primer after Week 1, so make sure you stay tuned. Given the leap in competition, he may start out behind veteran Dontrelle Inman.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,Daniel Carlson LV ,K21,295.5,6,,6.1,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0
299,Lynn Bowden Jr. LV ,RB86,263.9,6,"The Raiders used a third-round pick on Bowden, who‘s played numerous positions, though they‘re officially listing him as a running back. The Raiders clearly have better receivers on their roster heading into this season, and while they did allow DeAndre Washington and his 40 targets walk, it‘s tough to find very much work available to Bowden. He‘s a name to watch, though, as you don‘t spend a third-round pick on a player you don‘t have plans for. Keep him on waiver wire speed dial.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Detroit (DET) ,DST26,299.2,5,,4.1,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
301,Mike Boone MIN ,RB87,279.6,7,,2.9,0,0,0.2,1.1,0,3.1,17.1,0.2,47,0,0,3,17,0,49,273,3
302,Carolina (CAR) ,DST27,297.8,13,,5.7,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0
